Center Number ,Center Name,Center Location ,Reagion ,Gread 6,Gread 9
AMR2\E/00003,معهد علي بن أبى طالب الإسلامية,سوكتا نعم ,2.1,147,
AMR2\E/00187,مدرسة أبوبكر الصديق,بركام سانجبا,2.5,35,
AMR2\E/00075,معهد الشيخ جوب الإسلامي,مصر بوهول,2.5,21,
AMR2\E/00188,مدرسة ناديا الإسلامية,غونجور,2.4,11,
AMR2\E/00189,معهد الفقهه السبعة,فارتو,2.2,14,
AMR2\E/00190,بندالى الإسلامية,بندالى,2.7,21,
AMR3\E/00001,الحاج تبور ماني,بارا,3.1,38,14
AMR3\E/00003,القدوس,مدينة مانين,3.1,17,13
AMR3\E/00004,أبو موسى الأشعري,كانوما,3.1,27,
AMR3\E/00005,أبوبكر الصديق,بكندك,3.1,17,6
AMR3\E/00006,أبوبكر الصديق,فاس,3.1,28,23
AMR3\E/00007,أبو خالد,مادمباكندا,3.1,15,
AMR3\E/00008,أهل الله للتربية والتعليم,كر غلو,3.1,8,9
AMR3\E/00009,بلال بن رباح,كر بران كن,3.1,22,5
AMR3\E/00010,حبيب الهدى,صامباكلا,3.1,31,19
AMR3\E/00011,خديجة بنت خويلد,امبليت با,3.1,22,
AMR3\E/00012,مركز عماربن ياسر,نعم كنكو,3.1,43,41
AMR3\E/00013,معهد فودي عيسى كن,بيرندن ,3.1,35,15
AMR3\E/00014,امبنتانغ كلنغ,امبنتانغ كلنغ,3.1,,
AMR3\E/00015,مركز الشيخ عمر الفوتى,اندنغوكيب,3.1,34,19
AMR3\E/00016,ناصر للدراسات الإسلامية والإنجليزية,اندنغوكيب,3.1,6,8
AMR3\E/00017,نصرالعلم,اندنغوكيب,3.1,43,22
AMR3\E/00018,معهد الشيخ محمد النذير,إسو,3.1,63,28
AMR3\E/00019,المعهدالإسلامي,مصراند,3.1,12,3
AMR3\E/00020,نورالهدى,حمدلاي,3.1,11,12
AMR3\E/00022,الإمام الغزالي,منغين,3.2,16,11
AMR3\E/00023,نورالحق,منغين,3.2,16,8
AMR3\E/00024,المركزالإبراهيمي,كنتي كندا جانيا,3.2,11,5
AMR3\E/00025,أبوبكر الصديق,قيروان,3.2,13,12
AMR3\E/00026,المنارة,قيروان,3.2,39,22
AMR3\E/00027,نصيرالأنصارالجوهري,قيروان,3.2,16,10
AMR3\E/00029,خالد بن الوليد,سواري كندا,3.2,23,14
AMR3\E/00030,خالد بن الوليد,بكان,3.2,,13
AMR3\E/00031,عبدالرحمن بن عوف,توربا,3.2,17,
AMR3\E/00032,عبدالله بن عباس,كر جين,3.2,18,
AMR3\E/00033,عثمان بن عفان,جوكادو دا سلام,3.2,15,14
AMR3\E/00034,علي بن أبي طالب,كنجور,3.2,31,13
AMR3\E/00035,فودي موسى توري,بدبو بني,3.2,24,
AMR3\E/00038,نجوم الهدى  ,كر أردو,3.2,11,
AMR3\E/00039,الإبراهيمية,دار السلام,3.2,9,
AMR3\E/00040,علي بن أبي طالب,نولير,3.2,16,
AMR3\E/00041,زينب الإسلامية,كر باتي,3.2,18,
AMR3\E/00042,مفتاح الوصول,كر الحاج مالك,3.2,7,
AMR3\E/00043,بيبي أحمد الفهدي,كر أحمد فايل,3.2,10,
AMR3\E/00044,الحاج عمرفال,بالين,3.3,17,9
AMR3\E/00045,إبراهيم خليل الله,انجين سنجال,3.3,44,35
AMR3\E/00046,تفسير غي,ديبا كندا,3.3,33,20
AMR3\E/00050,أبوهريرة,فرفني,3.3,28,21
AMR3\E/00051,أبوبكرالصديق,فرفني,3.3,13,7
AMR3\E/00052,الوفاء الشاملة,فرفني,3.3,54,18
AMR3\E/00054,التعليمية والتكوين المهني,كاتشان,3.3,17,14
AMR3\E/00055,أسامة بن زيد,كاتشان,3.3,18,
AMR3\E/00056,خالد بن الوليد,كونتي كندا سوكتو,3.3,12,
AMR3\E/00057,علي سينا منتي,منتي كندا,3.3,20,
AMR3\E/00058,أبوبكرالصديق,انجاب كندا,3.3,39,14
AMR3\E/00059,الشيخ حطاب,كنتي كندا مارون كندا,3.3,36,23
AMR3\E/00060,الإمام الشافعي,مندور,3.3,14,19
AMR3\E/00061,بابا سيسي,سلكني,3.3,22,
AMR3\E/00062,عبدالله بن عباس,بدبو سلكني,3.3,12,
AMR3\E/00063,نور الدين,فرفني,3.3,5,
AMR3\E/00065,فودي كيمو جيتي,بشرى,3.3,9,
AMR3\E/00066,نصرالدين,كومبجا,3.3,7,
AMR3\E/00069,الحاج عثمان كاه,كرمبا سنجال,3.3,11,
AMR3\E/00047,عمر بن الخطاب ,كاتبا ولوف,3.3,9,
AMR3\E/00048,علي بن أبي طالب ,سار كندا,3.3,5,
